workflow,dataset,perturbation,sensitivity,monotonicity,paired_detectability,mean_shift_detectability,edit_distance_validation,paired_edit_distance_validation,robustness_cv,ranking_stability_tau,relative_runtime,interpretability_score,granularity_label
native_netlsd,barabasi_albert,edge_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9922644144790944,0.9922898690720168,0.011994778288103747,1.0,178.02348761237084,2,local
native_netlsd,barabasi_albert,hub_modification,0.8779194219127038,0.1,0.8782339023890933,0.8779194219127038,0.8980565065419523,0.8980434520099084,0.06451280077187464,1.0,186.41739065524072,2,global
native_netlsd,barabasi_albert,triangle_deletion,0.8997179107337687,0.0,0.8994034285125716,0.8997179107337687,0.9650434916561033,0.9653953151986465,0.02687562591438464,0.8260869565217391,201.258569582849,2,local/mesoscopic
native_netlsd,barabasi_albert,triangle_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9926318743717936,0.9926279582805747,0.014095800020574431,1.0,180.48147224514472,2,local/mesoscopic
native_netlsd,erdos_renyi,community_weakening,0.35640423481270567,0.4,0.6831697003739907,0.35640423481270567,0.34684493584137216,0.6682320153510775,0.467676939837312,0.9033816425120773,174.2425131019178,2,mesoscopic
native_netlsd,erdos_renyi,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9908200295012204,0.990831125093007,0.00491207748275062,1.0,176.13155727927938,2,local
native_netlsd,erdos_renyi,edge_insertion,0.9913500066487086,0.0,0.9874977528202746,0.9913500066487086,0.9829147466941662,0.9787754382758754,0.04079727087180487,1.0,172.7606401679341,2,local
native_netlsd,erdos_renyi,hub_modification,0.39046832545595683,0.0,0.5577557258859155,0.39046832545595683,0.35775935246443274,0.5880834597915202,0.613241020851647,0.9033816425120773,173.8020985580659,2,global
native_netlsd,erdos_renyi,triangle_deletion,0.9313024827798188,0.0,0.931774203494403,0.9313024827798188,0.965441390046572,0.9656802879829769,0.04050843336276752,1.0,186.30901898264233,2,local/mesoscopic
native_netlsd,erdos_renyi,triangle_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9886753168770477,0.988670748103959,0.008969906483688013,1.0,170.39198215823555,2,local/mesoscopic
native_netlsd,stochastic_block_model,community_weakening,0.6811570942921966,0.2,0.8148224403963485,0.6811570942921966,0.6819350712075919,0.8100356364300911,0.1373141092686919,1.0,187.16120184015824,2,mesoscopic
native_netlsd,stochastic_block_model,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9902293524090486,0.990211729998564,0.004382594496819978,1.0,183.7321707344449,2,local
native_netlsd,stochastic_block_model,edge_insertion,0.9860354687139712,0.0,0.9841329270272752,0.9860354687139712,0.9775738509535681,0.9753834505985092,0.04381130199991252,1.0,176.5495763289055,2,local
native_netlsd,stochastic_block_model,hub_modification,0.4691564330535042,0.1,0.6297121551943025,0.4691564330535042,0.7006474462423077,0.6203100467946497,0.4708744915941746,0.9722222222222221,184.57882167073362,2,global
native_netlsd,stochastic_block_model,triangle_deletion,0.9250766750809827,0.0,0.9254226039437068,0.9250766750809827,0.9631561220653356,0.9633401913275964,0.04316884452832469,1.0,198.7043897892029,2,local/mesoscopic
native_netlsd,stochastic_block_model,triangle_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9877765739423289,0.987759604213714,0.007066582394802894,1.0,177.53421506383006,2,local/mesoscopic
structural_statistics_mmd,barabasi_albert,community_weakening,0.9862870444741955,0.0,0.9909411960383442,0.9835197111117285,0.9816198258644769,0.988670748103959,0.122209462550211,1.0,3.568991249155533,3,mesoscopic
structural_statistics_mmd,barabasi_albert,edge_deletion,0.9524972751790746,0.0,0.9962400104880677,0.9962400104880677,0.9522484890414713,0.9891419844139568,0.011184148122885904,1.0,4.0309664683988675,3,local
structural_statistics_mmd,barabasi_albert,edge_insertion,0.15069388037433146,0.7,0.9962400104880677,0.9962400104880677,0.1498779484903468,0.9931709895962508,0.025127357133143756,1.0,3.5165288917057285,3,local
structural_statistics_mmd,barabasi_albert,hub_modification,0.8629344272127448,0.0,0.7587784934325477,0.8712367117894273,0.8596089514926225,0.7410503023755984,0.2362991846394153,1.0,3.562444886393926,3,global
structural_statistics_mmd,barabasi_albert,triangle_deletion,0.03519056055195258,0.5,0.8807389086845253,0.8817295276812961,0.055955608876658104,0.989058875287366,0.024609341619959237,0.8260869565217391,3.7426053005486946,3,local/mesoscopic
structural_statistics_mmd,barabasi_albert,triangle_insertion,-0.047720777017539226,0.7,0.9962400104880677,0.9962400104880677,-0.04322777291892385,0.9926795201482892,0.020972720498296606,1.0,3.576350561321836,3,local/mesoscopic
structural_statistics_mmd,erdos_renyi,community_weakening,0.29855753344614,0.5,0.9156728732762486,0.09385348204866281,0.3029755766444319,0.9023117991828422,0.2121269486525417,0.9033816425120773,3.4080144132173307,3,mesoscopic
structural_statistics_mmd,erdos_renyi,edge_deletion,0.9897147642072509,0.0,0.9962400104880677,0.9962400104880677,0.9888724268017282,0.9978898795149267,0.03441250451102656,1.0,3.785753869969381,3,local
structural_statistics_mmd,erdos_renyi,edge_insertion,0.28038118476993723,0.6,0.9962400104880677,0.9962400104880677,0.2920085631861318,0.9982690876812822,0.06441540148116288,1.0,3.5368512863392794,3,local
structural_statistics_mmd,erdos_renyi,hub_modification,0.5065645546534706,0.0,0.5243674443109599,0.5089865025397369,0.5382926708230272,0.6317533242614275,0.4056810343803576,0.9033816425120773,3.3954063872075313,3,global
structural_statistics_mmd,erdos_renyi,triangle_deletion,0.4216868707906595,0.3,0.9169936211040972,0.9177955463188904,0.470173331549214,0.9938317336092191,0.03988312923025725,1.0,3.5165022619756336,3,local/mesoscopic
structural_statistics_mmd,erdos_renyi,triangle_insertion,-0.017987666856034555,0.7,0.9962400104880677,0.9962400104880677,-0.004977351939117834,0.9975171981672691,0.06257451946594389,1.0,3.517025243313272,3,local/mesoscopic
structural_statistics_mmd,stochastic_block_model,community_weakening,0.887905198741496,0.1,0.893785782136738,0.873502486468657,0.9006951061913401,0.9043214066599656,0.12252030933705824,1.0,3.5500469130363097,3,mesoscopic
structural_statistics_mmd,stochastic_block_model,edge_deletion,0.9847146959727938,0.0,0.9962400104880677,0.9962400104880677,0.9864431448823213,0.9976523033143184,0.03709087165393977,1.0,3.9866689511643116,3,local
structural_statistics_mmd,stochastic_block_model,edge_insertion,0.42478567113866217,0.6,0.9962400104880677,0.9962400104880677,0.4353042150195151,0.9985099272912396,0.07160968573474724,1.0,3.5131492621323517,3,local
structural_statistics_mmd,stochastic_block_model,hub_modification,0.28807713197316803,0.3,0.44506285226011566,0.2660909531551804,0.3932804149715455,0.4878765846206786,0.2535568898319654,0.9722222222222221,3.5216380776403864,3,global
structural_statistics_mmd,stochastic_block_model,triangle_deletion,0.4294706830719146,0.3,0.914179915905175,0.9148403255521936,0.44996188069178716,0.9957925160832152,0.042909855867784966,1.0,3.6918479306829624,3,local/mesoscopic
structural_statistics_mmd,stochastic_block_model,triangle_insertion,0.07224941363940453,0.7,0.9962400104880677,0.9962400104880677,0.08341209027895621,0.9977332358661739,0.07103162766701683,1.0,3.547031324018839,3,local/mesoscopic
wl_subtree_kernel_mmd,barabasi_albert,community_weakening,0.982969389136238,0.0,0.9823876201907193,0.982969389136238,0.9812223426057669,0.9797570718080592,0.03140691269161938,1.0,1.0,2,mesoscopic
wl_subtree_kernel_mmd,barabasi_albert,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9913826412729906,0.9911280953437674,0.0037241307586388214,1.0,1.0,2,local
wl_subtree_kernel_mmd,barabasi_albert,edge_insertion,0.9961142226079556,0.0,0.9962085635180397,0.9961142226079556,0.9915856253344993,0.9911372328899446,0.013458954318263855,1.0,1.0,2,local
wl_subtree_kernel_mmd,barabasi_albert,hub_modification,0.8681076310493518,0.1,0.8747125774762032,0.8681076310493518,0.887459490155251,0.8953139732262104,0.03744556386330981,1.0,1.0,2,global
wl_subtree_kernel_mmd,barabasi_albert,triangle_deletion,0.8947805398609746,0.0,0.8979725344061249,0.8947805398609746,0.9716850585306439,0.9627680614718626,0.058130984475588315,0.8260869565217391,1.0,2,local/mesoscopic
wl_subtree_kernel_mmd,barabasi_albert,triangle_insertion,0.9957525824526332,0.0,0.9956896885125771,0.9957525824526332,0.9912194708055398,0.9911874893939194,0.021896942201105794,1.0,1.0,2,local/mesoscopic
wl_subtree_kernel_mmd,erdos_renyi,community_weakening,0.4906987605201154,0.5,0.8608765280024021,0.4906987605201154,0.4947334258293368,0.8560340438863288,0.08426953131140459,0.9033816425120773,1.0,2,mesoscopic
wl_subtree_kernel_mmd,erdos_renyi,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9916587257039172,0.9918049264427531,0.0035823502600105285,1.0,1.0,2,local
wl_subtree_kernel_mmd,erdos_renyi,edge_insertion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9939274478833525,0.9929144856214183,0.017735406424771,1.0,1.0,2,local
wl_subtree_kernel_mmd,erdos_renyi,hub_modification,0.4685211005178995,0.0,0.6346761616763571,0.4685211005178995,0.4909381064442743,0.6465149777860196,0.07813764293047816,0.9033816425120773,1.0,2,global
wl_subtree_kernel_mmd,erdos_renyi,triangle_deletion,0.9163489361274988,0.0,0.9235348150129985,0.9163489361274988,0.9684112960865776,0.9669615903030936,0.026838241270951343,1.0,1.0,2,local/mesoscopic
wl_subtree_kernel_mmd,erdos_renyi,triangle_insertion,0.9962085635180397,0.0,0.9962400104880677,0.9962085635180397,0.9906764394898637,0.9923812445337892,0.01906344118801969,1.0,1.0,2,local/mesoscopic
wl_subtree_kernel_mmd,stochastic_block_model,community_weakening,0.5181045546968485,0.5,0.8483291869612171,0.5181045546968485,0.5186667014763663,0.8405876747555705,0.0855258775059042,1.0,1.0,2,mesoscopic
wl_subtree_kernel_mmd,stochastic_block_model,edge_deletion,0.9962400104880677,0.0,0.9962400104880677,0.9962400104880677,0.9915223151931284,0.9905184904773714,0.003013040110588778,1.0,1.0,2,local
wl_subtree_kernel_mmd,stochastic_block_model,edge_insertion,0.9962400104880677,0.0,0.9962085635180397,0.9962400104880677,0.9920614304175857,0.9914531309149293,0.02482013000017253,1.0,1.0,2,local
wl_subtree_kernel_mmd,stochastic_block_model,hub_modification,0.5853466255479911,0.1,0.6484271428862948,0.5853466255479911,0.4624769462973199,0.654964793825052,0.06974001268049532,0.9722222222222221,1.0,2,global
wl_subtree_kernel_mmd,stochastic_block_model,triangle_deletion,0.9180008574343543,0.0,0.9212242854733739,0.9180008574343543,0.9833332463029494,0.976450883532459,0.03531029791891474,1.0,1.0,2,local/mesoscopic
wl_subtree_kernel_mmd,stochastic_block_model,triangle_insertion,0.9961142226079556,0.0,0.9960984991229416,0.9961142226079556,0.9930326210398526,0.9919602647277662,0.026175055121231056,1.0,1.0,2,local/mesoscopic
